name,source_group,has_binding,has_functional,has_biased,has_oligomers,has_downstream,has_neuroimaging,has_pk_routes,has_conc_effect,has_metabolism,has_drug_interactions,has_pgx,has_tolerance,has_off_targets,has_identifiers,confidence
"5,6-dibromo-N-methyltryptamine",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
"5,6-dibromodimethyltryptamine",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
"5,6-dibromotryptamine",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
"5,6-dihydroxytryptamine",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
"5,6-MDO-DIPT",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
"5,6-MDO-DMT",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
"5,6-MDO-MIPT",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
"5,6-MEO-MIPT",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
"5,7-Dichlorotryptamine HCl",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
"5,7-dihydroxytryptamine",serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
"5-(2-aminoethyl)-2,3-dimethoxyphenol",serotonergic-phenethylamine-psychedelics,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,low
5-(Trifluoromethoxy)-1H-indole-3-ethanamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-apb,mdma-and-entactogens,yes,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,high
5-apdb,mdma-and-entactogens,yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,medium
5-apdi,mdma-and-entactogens,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,low
5-Br-DMT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-Bromo-DMT,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-bromodimethyltryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-bromotryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-Bromotryptophan,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
5-carboxamidotryptamine,serotonergic-tryptamines-and-lsd,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,low
